Id,BatchId,Date,Value
1,1,28-Jun-16,163.63
1,1,30-Jun-16,162.31
1,1,14-Jul-16,164.22
1,1,16-Jul-16,147.15
1,1,31-Jul-16,167.33
1,1,01-Aug-16,173.55
1,1,02-Aug-16,168.2
1,1,09-Aug-16,180.24
1,1,09-Aug-16,147.18
1,1,10-Aug-16,159.43
1,1,10-Aug-16,150.77
1,1,21-Aug-16,157.11
1,1,21-Aug-16,156.04
1,1,22-Aug-16,156.46
1,1,29-Aug-16,154.74
1,1,20-Sep-16,159.23
1,1,20-Sep-16,159.7
1,1,21-Sep-16,161.09
1,1,09-Oct-16,155.45
1,1,13-Oct-16,155.84
1,1,16-Oct-16,157.32
1,1,18-Oct-16,162
1,1,31-Oct-16,157.26
1,1,07-Nov-16,156.1
1,1,14-Nov-16,154.36
1,1,21-Nov-16,155.74
1,1,08-Dec-16,155.45
1,1,12-Dec-16,159.54
1,1,20/12/2016,137.24
1,1,22/12/2016,161.79
1,1,01/03/2017,161.18
1,1,19/01/2017,179.47
1,1,25/01/2017,171
1,1,31/01/2017,159
1,1,02-Feb-17,155
1,1,13-Feb-17,168
1,1,02-Mar-17,158
1,1,09-Mar-17,154
1,1,16-Mar-17,153
1,1,23-Mar-17,158
1,1,30-Mar-17,154
1,1,06-Apr-17,154
1,1,13-Apr-17,153
1,1,20-Apr-17,156
1,1,18-May-17,154
1,1,25-May-17,155
1,1,01-Jun-17,154
1,1,08-Jun-17,153
1,1,15-Jun-17,153
1,1,03-Jul-17,152
1,1,10-Jul-17,152
1,1,17-Jul-17,151
1,1,24-Jul-17,154
1,1,31-Jul-17,153
1,1,07-Aug-17,152
1,1,14-Aug-17,153
1,1,21-Aug-17,153
1,1,28-Aug-17,154
1,1,04-Sep-17,151
1,1,11-Sep-17,152
1,1,18-Sep-17,154
1,1,25-Sep-17,153
1,1,02-Oct-17,153
1,1,09-Oct-17,157
1,1,10-Oct-17,151
1,1,23-Oct-17,160
1,1,30-Oct-17,150
1,1,09-Nov-17,150
1,1,16-Nov-17,150
1,1,23-Nov-17,150
1,1,04-Dec-17,152
1,1,14-Dec-17,152
1,1,21-Dec-17,152
1,1,04-Jan-18,161
1,1,11-Jan-18,152
1,1,18-Jan-18,152
1,1,25-Jan-18,149
1,1,05-Feb-18,148
1,1,12-Feb-18,151
1,1,19-Feb-18,150
1,1,26-Feb-18,150
1,1,05-Mar-18,76
1,1,12-Mar-18,150
1,1,19-Mar-18,152
1,1,26-Mar-18,151
1,1,05-Apr-18,149
1,1,12-Apr-18,151
1,1,19-Jul-18,150
1,1,02-Aug-18,147
1,1,10-Sep-18,149
1,1,04-Oct-18,155
1,1,01-Nov-18,147
1,1,10-Dec-18,146
1,1,03-Jan-19,146
1,1,18-Feb-19,146
1,1,04-Mar-19,145
1,1,01-Apr-19,144
1,1,09-May-19,146
1,1,10-Jun-19,148
